#,Name,Capacity,Arrival time min,Arrival time max,Service time,Address,New Arrival time min,New Arrival time max
15,Delivery #234871 to GEORGES FINE MEATS(GEORGES FINE MEATS) ref #143538,64,12:31,12:31,5,"Shop 42/47 Shepherds Dr, Cherrybrook NSW 2126, Australia",12:27,12:27
16,Delivery #227671 to GEORGES FINE MEATS(GEORGES FINE MEATS) ref #143538,64,12:36,12:36,0,"Shop 42/47 Shepherds Dr, Cherrybrook NSW 2126, Australia",12:27,12:27
17,Delivery #234976 to CASH SIMON @ FEDELES(CASH SIMON @ FEDELES),5,12:44,12:44,0,"Dural NSW 2158, Australia",12:40,12:40
18,Delivery #234974 to FEDELES AT DURAL(FEDELES AT DURAL),52,12:44,12:44,5,"Dural NSW 2158, Australia",12:40,12:40
19,Delivery #234973 to OAC CASTLEHILL(OAC CASTLEHILL),13,12:55,12:55,5,"Aacacia Cottage Kindergarten, 569 Old Northern Rd, Glenhaven NSW 2156, Australia",12:50,12:50
20,Depot,0,13:31,13:31,0,"22 George Young St, Regents Park NSW 2143, Australia",13:31,13:31
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #227687 to SYDNEY LAMBS PTY LTD(SYDNEY LAMBS PTY LTD) ref #143502,40,7:09,7:09,0,"38 Birnie Ave, Lidcombe NSW 2141, Australia",7:11,7:11
3,Delivery #233675 to SYDNEY LAMBS PTY LTD(SYDNEY LAMBS PTY LTD) ref #143502,40,7:09,7:09,0,"38 Birnie Ave, Lidcombe NSW 2141, Australia",7:11,7:11
4,Delivery #234943 to JESMOND BURWOOD(JESMOND BURWOOD),22,7:16,7:16,5,"23A-25 Grantham St, Burwood NSW 2134, Australia",7:22,7:22
5,Delivery #234886 to LUCKY STAR BUTCHER(LUCKY STAR BUTCHER) ref #143489,41,7:27,7:27,5,"115A Great N Rd, Five Dock NSW 2046, Australia",7:36,7:36
6,Delivery #227686 to LUCKY STAR BUTCHER(LUCKY STAR BUTCHER) ref #143489,41,7:32,7:32,0,"115A Great N Rd, Five Dock NSW 2046, Australia",7:36,7:36
7,Delivery #234983 to THE PIQUANT KITCHEN(THE PIQUANT KITCHEN),45,7:33,7:33,5,"13 Ramsay Rd, Five Dock NSW 2046, Australia",7:45,7:45
8,Delivery #234952 to MONTE RESTAURANT(MONTE RESTAURANT),12,7:43,7:43,5,"Level 1/256 Norton St, Leichhardt NSW 2040, Australia",7:55,7:55
9,Delivery #234944 to COLOMBO HOUSE(COLOMBO HOUSE),21,7:54,7:54,5,"159 Enmore Rd, Enmore NSW 2042, Australia",8:11,8:11
10,Delivery #234946 to OAC  ENMORE(OAC  ENMORE),6,8:02,8:02,5,"290 Edgeware Rd, Newtown NSW 2042, Australia",8:18,8:18
11,Delivery #234947 to UNION HOTEL(UNION HOTEL),33,8:09,8:09,5,"576 King St, Newtown NSW 2042, Australia",8:25,8:25
12,Delivery #234899 to FUMO MEATS(FUMO MEATS) ref #143484,161,8:18,8:18,5,"47/566 Gardeners Rd, Alexandria NSW 2015, Australia",8:36,8:36
13,Delivery #234938 to BAKER & CO(BAKER & CO),41,8:27,8:27,5,"88 McEvoy St, Alexandria NSW 2015, Australia",8:47,8:47
14,Delivery #234902 to ARDI'S BLOCK AND GRILL(ARDI'S BLOCK AND GRILL) ref #143455,41,8:36,8:36,5,"579 Crown St, Surry Hills NSW 2010, Australia",8:58,8:58
15,Delivery #234941 to LE RENDEZ-VOUS FBU(LE RENDEZ-VOUS FBU),14,8:47,8:47,5,"65-71 Belmore Rd, Randwick NSW 2031, Australia",9:13,9:13
16,Delivery #234940 to WARRANE COLLEGE(WARRANE COLLEGE),25,8:55,8:55,5,"N13/39 Barker St, Kingsford NSW 2032, Australia",9:22,9:22
17,Delivery #234934 to MARK MORAN LITTLE BAY(MARK MORAN LITTLE BAY),30,9:11,9:11,5,"7-11 Brodie Ave, Little Bay NSW 2036, Australia",9:42,9:42
18,Delivery #234937 to LONG BAY CSI(LONG BAY CSI),140,9:19,9:19,5,"Anzac Parade, Matraville NSW 2036, Australia",9:50,9:50
19,Delivery #234942 to TOP CAT CATERING F.B(TOP CAT CATERING F.B),7,9:30,9:30,5,"Arthur Byrne Reserve, 1R Marine Parade, Maroubra NSW 2035, Australia",10:00,10:00
20,Delivery #234930 to SOUTHERN CROSS AGED CARE(SOUTHERN CROSS AGED CARE),8,9:40,9:40,5,"39 Gregory St, South Coogee NSW 2034, Australia",10:09,10:09
21,Delivery #234929 to CLOVELLY SOCIAL FBU(CLOVELLY SOCIAL FBU),14,9:52,9:52,5,"344 Clovelly Rd, Clovelly NSW 2031, Australia",10:23,10:23
22,Delivery #234898 to FIELD TO FORK PTY LTD(FIELD TO FORK PTY LTD) ref #2,72,10:05,10:05,5,"75 Hall St, Bondi Beach NSW 2026, Australia",10:38,10:38
23,Delivery #234931 to MACELLERIA BONDI(MACELLERIA BONDI),12,10:11,10:11,5,"g09/180 Campbell Parade, Bondi Beach NSW 2026, Australia",10:45,10:45
24,Delivery #234927 to ONLY ABOUT CHILDREN ROSE BAY(ONLY ABOUT CHILDREN ROSE BAY),18,10:20,10:20,5,"70 Dover Rd, Rose Bay NSW 2029, Australia",10:55,10:55
25,Delivery #234924 to NAVY CANTEENS HMAS WATSON(NAVY CANTEENS HMAS WATSON),32,10:30,10:30,5,"Cliff St, Watsons Bay NSW 2030, Australia",11:08,11:08
26,Delivery #234923 to DOYLES RESTUARANT(DOYLES RESTUARANT),30,10:36,10:36,5,"11 Marine Parade, Watsons Bay NSW 2030, Australia",11:13,11:13
27,Delivery #234926 to MARK MORAN VAUCLUSE(MARK MORAN VAUCLUSE),130,10:44,10:44,5,"Old South Head Rd, Vaucluse NSW 2030, Australia",11:23,11:23
28,Delivery #234928 to JOZO - F.B(JOZO - F.B),23,10:58,10:58,5,"495 Oxford St, Paddington NSW 2021, Australia",11:41,11:41
29,Delivery #234967 to *2:HMAS CANBERRA(*2:HMAS CANBERRA),52,11:10,11:10,5,"1 Cowper Wharf Roadway, Potts Point NSW 2011, Australia",11:58,11:58
30,Delivery #234925 to NAVY CANTEENS CAFE 51(NAVY CANTEENS CAFE 51),12,11:17,11:17,5,"51 Cowper Wharf Roadway, Woolloomooloo NSW 2011, Australia",12:05,12:05
31,Delivery #234933 to ZABOU KITCHEN(ZABOU KITCHEN),12,11:27,11:27,5,"99 York St, Sydney NSW 2000, Australia",12:19,12:19
32,Delivery #234932 to CTA BUSINESS CLUB(CTA BUSINESS CLUB),18,11:34,11:34,5,"19 Martin Pl, Sydney NSW 2000, Australia",12:31,12:31
33,Delivery #234896 to CAMPBELL MEAT MARKET(CAMPBELL MEAT MARKET) ref #143524,55,11:43,11:43,5,"14 Campbell St, Haymarket NSW 2000, Australia",12:43,12:43
34,Delivery #234949 to TOMMY'S  GLEBE(TOMMY'S  GLEBE),22,11:52,11:52,5,"123 Glebe Point Rd, Glebe NSW 2037, Australia",12:56,12:56
35,Delivery #234950 to DESCANSO FBU(DESCANSO FBU),12,11:57,11:57,5,"1/197 Glebe Point Rd, Glebe NSW 2037, Australia",13:01,13:01
36,Delivery #234948 to NORTH ANNANDALE(NORTH ANNANDALE),25,12:06,12:06,5,"105 Johnston St, Annandale NSW 2038, Australia",13:11,13:11
37,Delivery #234951 to *3:1947 KITCHEN & WINE FB(*3:1947 KITCHEN & WINE FB),15,12:14,12:14,5,"679 Darling St, Rozelle NSW 2039, Australia",13:23,13:23
38,Delivery #234985 to PAC DRUMMOYNE(PAC DRUMMOYNE),16,12:24,12:24,5,"12-14 Clements St, Drummoyne NSW 2047, Australia",13:33,13:33
39,Delivery #227692 to HUMMERSTON GOURMET MEATS  P/L(HUMMERSTON GOURMET MEATS  P/L) ref #143574,35,12:38,12:38,0,"225 Burns Bay Rd, Lane Cove NSW 2066, Australia",13:48,13:48
40,Delivery #234892 to HUMMERSTON GOURMET MEATS  P/L(HUMMERSTON GOURMET MEATS  P/L) ref #143574,35,12:38,12:38,5,"225 Burns Bay Rd, Lane Cove NSW 2066, Australia",13:48,13:48
41,Delivery #234989 to MATTIA FREGOLA FB(MATTIA FREGOLA FB),14,12:59,12:59,5,"5/15 Lamond Dr, Turramurra NSW 2074, Australia",14:13,14:13
42,Delivery #234988 to CEDARWOOD CAFE(CEDARWOOD CAFE),10,13:07,13:07,5,"23 Coonanbarra Rd, Wahroonga NSW 2076, Australia",14:21,14:21
43,"Ettalong Beach NSW 2257, Australia",,14:06,14:06,0,"Ettalong Beach NSW 2257, Australia",15:14,15:14
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234953 to KONGFUCIUS CAFE FB(KONGFUCIUS CAFE FB),10,7:16,7:16,5,"l2/171 Hawkesbury Rd, Westmead NSW 2145, Australia",7:21,7:21
3,Delivery #233742 to UPA MELROSE(UPA MELROSE),12,7:27,7:27,0,"Jacaranda Lodge, 123-157 Bungaree Rd, Pendle Hill NSW 2145, Australia",7:34,7:34
4,Delivery #234954 to UPA MELROSE(UPA MELROSE),12,7:27,7:27,5,"Jacaranda Lodge, 123-157 Bungaree Rd, Pendle Hill NSW 2145, Australia",7:34,7:34
5,Delivery #234868 to SUTCLIFFE SEVEN HILLS PLAZA(SUTCLIFFE SEVEN HILLS PLAZA) ref #143583,16,7:41,7:41,5,"Seven Hills NSW 2147, Australia",7:48,7:48
6,Delivery #227668 to SUTCLIFFE SEVEN HILLS PLAZA(SUTCLIFFE SEVEN HILLS PLAZA) ref #143583,16,7:46,7:46,0,"Seven Hills NSW 2147, Australia",7:48,7:48
7,Delivery #227672 to IVANS BUTCHERY BELLA VISTA(IVANS BUTCHERY BELLA VISTA) ref #143532,44,7:52,7:52,0,"Circa Retail, 1 Circa Boulevarde, Bella Vista NSW 2153, Australia",8:04,8:04
8,Delivery #234872 to IVANS BUTCHERY BELLA VISTA(IVANS BUTCHERY BELLA VISTA) ref #143532,44,7:52,7:52,5,"Circa Retail, 1 Circa Boulevarde, Bella Vista NSW 2153, Australia",8:04,8:04
9,Delivery #234977 to ENIGMA AT THE PIAZZA(ENIGMA AT THE PIAZZA),50,8:07,8:07,5,"6-14 Castle St, Castle Hill NSW 2154, Australia",8:25,8:25
10,Delivery #234975 to IL NIDO(IL NIDO),11,8:13,8:13,5,"Suite 35/3 Terminus St, Castle Hill NSW 2154, Australia",8:33,8:33
11,Delivery #227674 to PRIME QUALITY CATERING - NTH ROCKS(PRIME QUALITY CATERING - NTH ROCKS) ref #143530,227,8:29,8:29,0,"328/336 N Rocks Rd, North Rocks NSW 2151, Australia",8:50,8:50
12,Delivery #234874 to PRIME QUALITY CATERING - NTH ROCKS(PRIME QUALITY CATERING - NTH ROCKS) ref #143530,227,8:29,8:29,5,"328/336 N Rocks Rd, North Rocks NSW 2151, Australia",8:50,8:50
13,Delivery #234921 to UNITED MEAT CO PTY LTD RYDALMERE(UNITED MEAT CO PTY LTD RYDALMERE) ref #143475,61,8:43,8:43,5,"Rydalmere NSW 2116, Australia",9:09,9:09
14,Delivery #234906 to FUDA GROUP PTY LTD(FUDA GROUP PTY LTD) ref #143589,243,8:54,8:54,5,"45 Day St N, Silverwater NSW 2128, Australia",9:22,9:22
15,Delivery #234986 to CONCERTO(CONCERTO),9,9:03,9:03,5,"21 Bennelong Pkwy, Wentworth Point NSW 2127, Australia",9:31,9:31
16,Delivery #234887 to SYDNEY LAMBS PTY LTD(SYDNEY LAMBS PTY LTD) ref #143502,40,9:16,9:16,5,"38 Birnie Ave, Lidcombe NSW 2141, Australia",9:44,9:44
17,Delivery #234903 to DARWICHE BUTCHERY- GREENACRE(DARWICHE BUTCHERY- GREENACRE) ref #143482,30,9:30,9:30,5,"3/12 Boronia Rd, Greenacre NSW 2190, Australia",10:02,10:02
18,Delivery #234901 to AL ZAEEM GREENACRE(AL ZAEEM GREENACRE) ref #143483,187,9:35,9:35,5,"136 Waterloo Rd, Greenacre NSW 2190, Australia",10:08,10:08
19,Delivery #234850 to THAI SON BUTCHERY(THAI SON BUTCHERY) ref #2,58,9:47,9:47,5,"53 Bankstown City Plaza, Bankstown NSW 2200, Australia",10:23,10:23
20,Depot,,10:02,10:02,0,"22 George Young St, Regents Park NSW 2143, Australia",10:38,10:38
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #227659 to AL RASHEED GRILLS PTY LTD(AL RASHEED GRILLS PTY LTD) ref #143593,240,7:13,7:13,0,"Merrylands NSW 2160, Australia",7:16,7:16
3,Delivery #234859 to AL RASHEED GRILLS PTY LTD(AL RASHEED GRILLS PTY LTD) ref #143593,240,7:13,7:13,5,"Merrylands NSW 2160, Australia",7:16,7:16
4,Delivery #227676 to BABYLON BUTCHERY(BABYLON BUTCHERY) ref #143587,51,7:27,7:27,0,"35A The Crescent, Fairfield NSW 2165, Australia",7:34,7:34
5,Delivery #234876 to BABYLON BUTCHERY(BABYLON BUTCHERY) ref #143587,51,7:27,7:27,5,"35A The Crescent, Fairfield NSW 2165, Australia",7:34,7:34
6,Delivery #227684 to THEO'S CECINAS - FAIRFIELD WEST(THEO'S CECINAS - FAIRFIELD WEST) ref #143504,80,7:35,7:35,0,"205 Hamilton Rd, Fairfield NSW 2165, Australia",7:42,7:42
7,Delivery #234884 to THEO'S CECINAS - FAIRFIELD WEST(THEO'S CECINAS - FAIRFIELD WEST) ref #143504,80,7:35,7:35,5,"205 Hamilton Rd, Fairfield NSW 2165, Australia",7:42,7:42
8,Delivery #227682 to PAPANDREA FINE FOODS PTY LTD(PAPANDREA FINE FOODS PTY LTD) ref #143542,51,7:49,7:49,0,"Unit 4/2 Frank St, Wetherill Park NSW 2164, Australia",7:58,7:58
9,Delivery #234882 to PAPANDREA FINE FOODS PTY LTD(PAPANDREA FINE FOODS PTY LTD) ref #143542,51,7:49,7:49,5,"Unit 4/2 Frank St, Wetherill Park NSW 2164, Australia",7:58,7:58
10,Delivery #234970 to IL PIATTO(IL PIATTO),60,8:02,8:02,5,"Wallgrove Rd, Horsley Park NSW 2175, Australia",8:15,8:15
